
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.018711                       # Number of seconds simulated
sim_ticks                                 18711010000                       # Number of ticks simulated
final_tick                                18711010000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 156993                       # Simulator instruction rate (inst/s)
host_op_rate                                   156993                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               50357115                       # Simulator tick rate (ticks/s)
host_mem_usage                                 369532                       # Number of bytes of host memory used
host_seconds                                   371.57                       # Real time elapsed on the host
sim_insts                                    58333252                       # Number of instructions simulated
sim_ops                                      58333252                       # Number of ops (including micro ops) simulated
system.physmem.bytes_read::cpu0.inst           175680                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu0.data          5486976                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu1.inst            21376                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu1.data          3170560                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu2.inst             9216                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu2.data          3166080                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu3.inst             4992                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu3.data          3163776                       # Number of bytes read from this memory
system.physmem.bytes_read::total             15198656                       # Number of bytes read from this memory
system.physmem.bytes_inst_read::cpu0.inst       175680                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu1.inst        21376                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu2.inst         9216                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu3.inst         4992                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::total          211264                       # Number of instructions bytes read from this memory
system.physmem.bytes_written::writebacks      7334848                       # Number of bytes written to this memory
system.physmem.bytes_written::total           7334848                       # Number of bytes written to this memory
system.physmem.num_reads::cpu0.inst              2745                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu0.data             85734                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu1.inst               334                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu1.data             49540                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu2.inst               144                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu2.data             49470                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu3.inst                78                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu3.data             49434                       # Number of read requests responded to by this memory
system.physmem.num_reads::total                237479                       # Number of read requests responded to by this memory
system.physmem.num_writes::writebacks          114607                       # Number of write requests responded to by this memory
system.physmem.num_writes::total               114607                       # Number of write requests responded to by this memory
system.physmem.bw_read::cpu0.inst             9389124                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu0.data           293248521                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu1.inst             1142429                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu1.data           169448897                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu2.inst              492544                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu2.data           169209465                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu3.inst              266795                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu3.data           169086329                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::total               812284104                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::cpu0.inst        9389124                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::cpu1.inst        1142429                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::cpu2.inst         492544                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::cpu3.inst         266795                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_inst_read::total           11290892                       # Instruction read bandwidth from this memory (bytes/s)
system.physmem.bw_write::writebacks         392007059                       # Write bandwidth from this memory (bytes/s)
system.physmem.bw_write::total              392007059                       # Write bandwidth from this memory (bytes/s)
system.physmem.bw_total::writebacks         392007059                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu0.inst            9389124                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu0.data          293248521                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu1.inst            1142429                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu1.data          169448897                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu2.inst             492544                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu2.data          169209465                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu3.inst             266795                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::cpu3.data          169086329                       # Total bandwidth to/from this memory (bytes/s)
system.physmem.bw_total::total             1204291163                       # Total bandwidth to/from this memory (bytes/s)
workload.num_syscalls                             247                       # Number of system calls
system.l2.replacements                         237339                       # number of replacements
system.l2.tagsinuse                       2380.377963                       # Cycle average of tags in use
system.l2.total_refs                            36400                       # Total number of references to valid blocks.
system.l2.sampled_refs                         240402                       # Sample count of references to valid blocks.
system.l2.avg_refs                           0.151413                       # Average number of references to valid blocks.
system.l2.warmup_cycle                    15506507000                       # Cycle when the warmup percentage was hit.
system.l2.occ_blocks::writebacks          1723.363012                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu0.inst             81.226207                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu0.data            172.845944                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu1.inst              1.147394                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu1.data            128.644684                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu2.inst              0.475569                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu2.data            136.456441                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu3.inst              0.162955                       # Average occupied blocks per requestor
system.l2.occ_blocks::cpu3.data            136.055757                       # Average occupied blocks per requestor
system.l2.occ_percent::writebacks            0.420743                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu0.inst             0.019831                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu0.data             0.042199                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu1.inst             0.000280                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu1.data             0.031407                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu2.inst             0.000116                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu2.data             0.033315                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu3.inst             0.000040                       # Average percentage of cache occupancy
system.l2.occ_percent::cpu3.data             0.033217                       # Average percentage of cache occupancy
system.l2.occ_percent::total                 0.581147                       # Average percentage of cache occupancy
system.l2.ReadReq_hits::cpu0.inst                3373                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu0.data                 596                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu1.inst                 760                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu1.data                 295                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu2.inst                 768                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu2.data                 468                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu3.inst                 630                       # number of ReadReq hits
system.l2.ReadReq_hits::cpu3.data                 355                       # number of ReadReq hits
system.l2.ReadReq_hits::total                    7245                       # number of ReadReq hits
system.l2.Writeback_hits::writebacks           116729                       # number of Writeback hits
system.l2.Writeback_hits::total                116729                       # number of Writeback hits
system.l2.UpgradeReq_hits::cpu0.data                4                       # number of UpgradeReq hits
system.l2.UpgradeReq_hits::cpu1.data                2                       # number of UpgradeReq hits
system.l2.UpgradeReq_hits::cpu2.data                2                       # number of UpgradeReq hits
system.l2.UpgradeReq_hits::cpu3.data                1                       # number of UpgradeReq hits
system.l2.UpgradeReq_hits::total                    9                       # number of UpgradeReq hits
system.l2.SCUpgradeReq_hits::cpu0.data              1                       # number of SCUpgradeReq hits
system.l2.SCUpgradeReq_hits::cpu2.data              2                       # number of SCUpgradeReq hits
system.l2.SCUpgradeReq_hits::cpu3.data              3                       # number of SCUpgradeReq hits
